,name,price,description,size,abv,list_of_flavors,style_list,avg_rating,num_rating,subtitle,current_date,product_link
0,Ballyhoo Single Grain Whiskey,£33.75,"A small-batch single grain Irish whiskey, Ballyhoo is made with a mash bill of 93% corn and 7% malted barley and matured for four years, before being finished in ex-port for six months. Aromas of vanilla, almonds, baking spices and green apples fill the nose, complemented by notes of vanilla, dried fruit, rich nuts, caramel and toasted oak throughout the palate.",70cl,43%,"['Vanilla ', 'Cinnamon', 'Almond', 'Oak', 'Dried Fruit', 'Caramel']","['Body', 'Richness', 'Smoke', 'Sweetness']",None,None,Irish Single Grain Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/64677/ballyhoo-single-grain-whiskey
1,Bushmills 10 Year Old,£37.25,"The benchmark Irish single malt, this has a far greater depth of flavour than standard Irish blends.

Tasting Notes (1)",70cl,40%,"['Vanilla ', 'Cinnamon', 'Mango', 'Milk Chocolate', 'Honey ']","['Body', 'Richness', 'Smoke', 'Sweetness']",4.5,73,Irish Single Malt Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/2834/bushmills-10-year-old
2,"Bushmills 2000 Port Cask
Causeway Collection",£275,"A limited-edition 2000 port cask matured Bushmills single malt Irish whiskey from the Causeway Collection, a series of whiskies inspired by the majesty of Ireland's picturesque Giant's Causeway. This whiskey has spent its entire life in first-fill ruby port casks, and two decades in these casks has imparted aromas of ripe raspberries, plums, grapefruit and cherries that fill the nose. The palate offers notes of strawberries, caramelised toffee, sweet chilli, allspice and raspberry jam the linger in the finish.",70cl,54.1%,"['Nutmeg', 'Grapefruit', 'Raspberry', 'Strawberry', 'Cherry', 'Plums']","['Body', 'Richness', 'Smoke', 'Sweetness']",None,None,Single Malt Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/62656/bushmills-2000-port-cask-causeway-collection
3,Bushmills 21 Year Old,£190,"Matured in a combination of hand-selected oloroso sherry butts and ex-bourbon barrels for at least 19 years, this 21-year-old single malt Irish whiskey from Bushmills is then finished in Madeira casks for a further two years. Rich aromas of honey, ripe summer fruits, sweet hazelnuts and cacao fill the nose, complemented by notes of dark chocolate, toffee, vanilla, toasted nuts and charred oak throughout the palate and lingering in the finish.",70cl,40%,"['Vanilla ', 'Raspberry', 'Hazelnut', 'Dark Chocolate', 'Honey ', 'Toffee']","['Body', 'Richness', 'Smoke', 'Sweetness']",5,1,Single Malt Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/65397/bushmills-21-year-old
4,Bushmills Caribbean Rum Cask Finish,£26.45,"A fruity, spicy Irish whiskey from Bushmills that has been matured in casks that previously held Dominican rum. Aromas of pineapple, mango and oak spice fill the nose, complemented by notes of vanilla custard, cream, caramelised pineapple and papaya throughout the palate.",70cl,40%,"['Vanilla ', 'Pineapple', 'Mango', 'Papaya', 'Custard', 'Caramel']",None,None,None,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/60012/bushmills-caribbean-rum-cask-finish
5,Bushmills Black Bush,£28.45,"A bottle of a rich, dark, Irish blend, Black Bush contains a high proportion of triple-distilled single malt, aged in Oloroso sherry casks for around eight to 10 years before marriage with the grain.",70cl,40%,None,None,4.5,21,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/36818/bushmills-black-bush
6,"Bushmills 16 Year Old Single Malt
Port Finish",£86.95,"Matured in three different types of cask - oloroso sherry, bourbon , and port pipes - each of which contributes extra nuances to what is destined to become a classic Irish malt. Perfect as an after-dinner dram.",70cl,40%,"['Almond', 'Dark Chocolate', 'Toffee', 'Dried Fruit']","['Body', 'Richness', 'Smoke', 'Sweetness']",5,40,Irish Single Malt Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/2839/bushmills-16-year-old-single-malt-port-finish
7,Bushmills Original,£23.75,Grain whiskey reserved for Bushmills Original is slowly matured for a minimum of five years in American oak casks before blending with Irish Single Malt to produce this popular whiskey.,70cl,40%,"['Vanilla ', 'Ginger', 'Butter']","['Body', 'Richness', 'Smoke', 'Sweetness']",4.5,63,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/2824/bushmills-original
8,Bushmills Bourbon Cask Finish,£26.45,"A bold Irish whiskey from Bushmills that has been finished in bourbon casks, creating layers of vanilla and oak spice throughout the palate.",70cl,40%,"['Vanilla ', 'Oak']",None,None,None,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/62055/bushmills-bourbon-cask-finish
9,Bushmills Red Bush,£29.95,"Bushmills is a very traditional distillery and its rare to see a new expression – this was the first to appear for almost five years! It's a sweet and buttery dram with lots of vanilla and cream, as you'd expect from its maturation in bourbon casks, with lots of first-fill in the mix.",70cl,40%,"['Vanilla ', 'Nutmeg', 'Butterscotch', 'Butter']","['Body', 'Richness', 'Smoke', 'Sweetness']",4.5,7,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/41272/bushmills-red-bush
10,"Bushmills 16 Year Old
Three Wood",£89.95,"Matured in three different types of cask, each of which contributes extra nuances to what is destined to become a classic Irish malt. Perfect as an after-dinner dram.",70cl,40%,None,None,None,None,Irish Single Malt Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/44568/bushmills-16-year-old-three-wood
11,"Bushmills 1975
Millennium Malt Cask #289",£500,,70cl,43%,None,None,None,None,"Irish Single Malt Whiskey
Distillery Bottling",08/09/2022,https://www.thewhiskyexchange.com/p/66961/bushmills-1975-millennium-malt-cask-289
12,"Bushmills 1975
Millennium Malt Cask #300 Ulster Television",£600,,70cl,43%,None,None,None,None,"Single Malt Irish Whisky 
Distillery Bottling",08/09/2022,https://www.thewhiskyexchange.com/p/64242/bushmills-1975-millennium-malt-cask-300-ulster-television
13,"Bushmills Black Bush
Bot.1980s",£199,"Please note


This is an old bottle and the closure may have deteriorated - care should be taken when it is being opened. The item is sold as described and we do not accept liability for the state of the closure.",75cl,40%,None,None,None,None,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/63888/bushmills-black-bush-bot1980s
14,"Bushmills 10 Year Old
Bot.1980s",£150,,75cl,40%,None,None,None,None,"Irish Single Malt Whiskey
Distillery Bottling",08/09/2022,https://www.thewhiskyexchange.com/p/63610/bushmills-10-year-old-bot1980s
15,"Bushmills Black Bush
Bot.1980s",£225,"Please note


This is an old bottle and the closure may have deteriorated - care should be taken when it is being opened. The item is sold as described and we do not accept liability for the state of the closure.",100cl,43%,None,None,None,None,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/62071/bushmills-black-bush-bot1980s
18,"Old Bushmills 9 Year Old
Bot.1960s",£750,"A very old bottle of Bushmills whisky from sometime in the 1960s, bottled after 9 years of maturation.


Please note


This bottle contains sediment.


This is an old bottle and the closure may have deteriorated - care should be taken when it is being opened. The item is sold as described and we do not accept liability for the state of the closure.",75cl,43%,None,None,None,None,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/12259/old-bushmills-9-year-old-bot1960s
19,"Old Bushmills Pure Malt
Bot.1900s","£3,500","A beautiful embossed bottle of Old Bushmills Pure Malt. This is the first of its kind we've seen, and we estimate it to be from the early 1900s. Amusingly, this bottle displays the correct distillery establishment date of 1784, rather than the 1608 they tout around now.


Please note


This is an old bottle and the closure may have deteriorated - care should be taken when it is being opened. The item is sold as described and we do not accept liability for the state of the closure.",75cl,40%,None,None,None,None,"Irish Single Malt Whiskey
Distillery Bottling",08/09/2022,https://www.thewhiskyexchange.com/p/11089/old-bushmills-pure-malt-bot1900s
20,"Clonakilty Single Grain Irish Whiskey
Bordeaux Wine Finish",£44.95,"A single grain Irish whiskey from Clonakilty, finished in ex-Bordeaux wine casks. Sweet aromas of raspberries, rhubarb and custard fill the nose, complimenting notes of strawberries, cream, honey and wood spice throughout the palate.",70cl,43.6%,"['Vanilla ', 'Raspberry', 'Strawberry', 'Rhubarb', 'Cream', 'Custard']","['Body', 'Richness', 'Smoke', 'Sweetness']",5,1,Single Grain Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/50970/clonakilty-single-grain-irish-whiskey-bordeaux-wine-finish
21,Clonakilty Port Cask Irish Whiskey,£45.95,"A triple distilled blended Irish whiskey from Clonakilty's Cask Finish Series, finished in port casks. Aromas of ripe peaches, lively citrus, creamy vanilla and delicate oak spice fill the nose, complimented by notes of cardamom, chilli, peach compote and orange zest on the palate.",70cl,43.6%,"['Vanilla ', 'Orange ', 'Lemon', 'Peach', 'Caramel']","['Body', 'Richness', 'Smoke', 'Sweetness']",4.5,4,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/50969/clonakilty-port-cask-irish-whiskey
22,Clonakilty Single Batch Irish Whiskey,£46.75,"A single batch Irish whiskey from Clonakilty, finished in virgin oak casks and matured in a warehouse overlooking the Atlantic Ocean. Soft aromas of sweet spices, freshly-cut grass, ripe orchard fruits and leather fill the nose, and the palate offers notes of fresh ginger, cubeb pepper, hazelnut, almond and grass.",70cl,43.6%,"['Ginger', 'Grass', 'Pear ', 'Apple', 'Almond', 'Hazelnut']","['Body', 'Richness', 'Smoke', 'Sweetness']",4.5,4,Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/50968/clonakilty-single-batch-irish-whiskey
23,"Connacht Single Malt Whiskey
Batch 1",£54.95,"The first batch of single malt Irish whiskey from Connacht has been matured in ex-bourbon barrels and finished in sherry casks from Jerez. Aromas of raisins, dried fruit, honey, fudge, butterscotch, almond and star anise fill the nose, complemented by notes of vanilla, malt, dried fruit, baking spices, walnuts and honey throughout the palate.",70cl,47%,"['Cinnamon', 'Almond', 'Walnut', 'Honey ', 'Malt', 'Dried Fruit']","['Body', 'Richness', 'Smoke', 'Sweetness']",5,1,Single Malt Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/64676/connacht-single-malt-whiskey-batch-1
24,Connemara Peated Irish Whiskey,£36.95,"Thought peat was all about Islay? Think (or perhaps that should be 'drink') again. All Islay fans owe it to themselves to check out Connemara from the splendid Cooley distillery.

Tasting Notes (3)",70cl,40%,"['Vanilla ', 'Apple', 'Smoke', 'Honeysuckle']",None,4,85,Irish Single Malt Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/2849/connemara-peated-irish-whiskey
25,Connemara 12 Year Old Peated Irish Whiskey,£79.95,"The oldest expression in the Connemara range, this fine 12 Year Old peated Irish single malt from the Cooley distillery has won several awards including a Gold medal at the San Francisco World Spirits Fair.",70cl,40%,None,None,4.5,8,Irish Single Malt Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/2851/connemara-12-year-old-peated-irish-whiskey
26,"Connemara Distillers Edition Peated
Gift Pack",£56.95,"A gift pack containing a bottle of Connemara's excellent, but now discontinued, Distillers Edition Peated Single Malt and two branded tumblers to enjoy it from. A superb alternative to an Islay malt with a light and earthier style of peating.",70cl,43%,None,None,5,6,Distillery Bottling,08/09/2022,https://www.thewhiskyexchange.com/p/23476/connemara-distillers-edition-peated-gift-pack
27,"Cooley 2002
19 Year Old Gleann Mor Rare Find",£180,"A 2002 Cooley Irish single malt from indie bottler Gleann Mor, finished in an ex-rum cask and bottled in 2021 as part of its Rare Finds series. Aromas buttery caramel, banana fritters and pineapple fill the nose, complemented by notes of pear drops, dates, raisins and peppery oak throughout the palate.",70cl,59.8%,"['Raisins ', 'Pineapple', 'Banana', 'Dates', 'Oak', 'Caramel']","['Body', 'Richness', 'Smoke', 'Sweetness']",None,None,"Irish Single Malt Whiskey
Gleann Mor",08/09/2022,https://www.thewhiskyexchange.com/p/65208/cooley-2002-19-year-old-gleann-mor-rare-find
28,"Currach Single Malt Whiskey
Atlantic Kombu Seaweed Cask",£49.95,"An Irish single malt whiskey from Origin Spirits, Currach has been matured in ex-bourbon barrels and finished for three months in virgin oak casks charred with Atlantic Kombu seaweed. Aromas of toffee, raisins, almond and smoky seaweed fill the nose, followed by notes of roast coffee, salted caramel, dark chocolate, nutty smoke and earthy umami on the palate.",70cl,46%,"['Earth', 'Raisins ', 'Seaweed', 'Smoke', 'Dark Chocolate', 'Toffee']","['Body', 'Richness', 'Smoke', 'Sweetness']",None,None,Single Malt Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/54886/currach-single-malt-whiskey-atlantic-kombu-seaweed-cask
29,Dingle Whisky Batch 5,£73.95,"The fifth release of single malt Irish whiskey from Dingle Distillery has been matured in a combination of ex-bourbon, Pedro Ximenez sherry and Madeira wine casks. Aromas of crème brulee, salted caramel and honeycomb fill the nose, complemented by notes of sun-dried raisins, blossom honey, Tiramisu and vanilla throughout the palate.",70cl,46.5%,"['Vanilla ', 'Raisins ', 'Honey ', 'Cream', 'Coffee', 'Caramel']","['Body', 'Richness', 'Smoke', 'Sweetness']",5,3,"Irish Single Malt Whiskey
Distillery Bottling",08/09/2022,https://www.thewhiskyexchange.com/p/62295/dingle-whisky-batch-5
30,Dingle Single Malt Whiskey,£52.95,"A triple distilled Irish single malt whiskey from Dingle Distillery that has been matured in a combination of ex-bourbon and ex-Pedro Ximenez sherry casks. Aromas of lime zest, freshly-picked mint leaves and sweet pears fill the nose, complemented by notes of caramelised apple slices, raisins, vanilla, honey and mixed spices throughout the finish.",70cl,46.3%,"['Vanilla ', 'Raisins ', 'Pear ', 'Apple', 'Honey ', 'Caramel']",None,5,2,Single Malt Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/60716/dingle-single-malt-whiskey
31,"Dingle Single Pot Still
2nd Release",£175,"The second single pot still release from Dingle eschews the sherry-heavy maturation of its predecessor, instead opting for a 60/20/20 split between bourbon, PX and oloroso cask maturation, lending Dingle's spirit notes of fresh orchard fruit, a touch of zesty citrus and a hint of spice.


The first in a new wave of boutique, artisan Irish distilleries, Dingle was established in 2012 with a focus on producing high-quality, flavoursome spirit, and has experienced impressive demand for its whisky since releasing its first batch in 2015.",70cl,46.5%,None,None,None,None,"Irish Single Pot Still Whiskey
Distillery Bottling",08/09/2022,https://www.thewhiskyexchange.com/p/47543/dingle-single-pot-still-2nd-release
32,Drumshanbo Galanta Single Malt Whisky,£94.95,"Drumshanbo Galanta is the first single malt Irish whiskey to be distilled in Ireland's wester province of Connacht in more than 107 years. Aromas of caramel, toffee, roasted nuts and oaky vanilla fill the nose, complemented by notes of honey, sweet apples, roasted nuts, peppery spice and oak throughout the palate.",70cl,46%,"['Black Pepper', 'Apple', 'Hazelnut', 'Toffee', 'Oak', 'Caramel']","['Body', 'Richness', 'Smoke', 'Sweetness']",None,None,Irish Single Malt Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/64709/drumshanbo-galanta-single-malt-whisky
33,"Dublin Liberties Copper Alley
10 Year Old",£53.75,"The Dublin Liberties Copper Alley is aged initially in bourbon barrels for 10 years, before being finished for six months in oloroso-sherry casks. his has enticing notes of chocolate, raisins and nuts.",70cl,46%,None,None,None,None,Irish Single Malt Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/37806/dublin-liberties-copper-alley-10-year-old
34,"Dublin Liberties
Oak Devil",£38.25,"The Dublin Liberties is a blended Irish whiskey from Quintessential Brands. Inspired by the eponymous area of the Irish capital, this has been aged in bourbon casks and is filled with notes of caramel, Christmas cake and pepper.

Tasting Notes (1)",70cl,46%,"['Black Pepper', 'Christmas Cake', 'Toffee']",None,3.5,3,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/30058/dublin-liberties-oak-devil
35,"Dubliner Irish Whisky
Bourbon Cask",£23.25,"The Dubliner's blended whiskey is aged exclusively in bourbon casks. Mellow and rounded with notes of honey and a hint of pepper, this is a great introduction to Irish whiskey.",70cl,40%,None,None,4.5,8,Irish Blended Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/37808/dubliner-irish-whisky-bourbon-cask
36,Dunphy's,£26.95,"Dunphy's is an Irish blend made by Midleton, originally for the US market, but now available on this side of the pond.",70cl,40%,None,None,4.5,7,None,08/09/2022,https://www.thewhiskyexchange.com/p/7468/dunphys
37,Dunville's 1808 Blended Irish Whiskey,£32.95,"A modern blended Irish whiskey from Dunville's, 1808 is a bold combination of grain, malt and pot still whiskey that has a fruity, spicy character. Aromas of creamy vanilla, crunchy apples, pears, lemon curd, malt and lemon zest fill the nose, complemented by notes of buttery cereals, freshly-baked biscuits, ripe oranges, lemon meringue pie, charred oak and white pepper throughout the palate and wisps of smoke lingering in the finish.",70cl,43.5%,"['Vanilla ', 'White Pepper', 'Lemon', 'Apple', 'Malt', 'Meringue']","['Body', 'Richness', 'Smoke', 'Sweetness']",None,None,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/65543/dunvilles-1808-blended-irish-whiskey
38,"Dunville's 12 Year Old
PX Cask",£88.95,"Dunville's 12 Year Old has ben aged in Pedro-Ximenez casks and bottled at Echlinville Distillery. The result is a sweet and lightly spicy whiskey with notes of bubblegum, custard and green apples.",70cl,46%,None,None,4,1,Single Malt Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/50361/dunvilles-12-year-old-px-cask
39,Dunville's Three Crowns Whiskey,£42.25,"Dunville's Three Crowns is a historic brand of Irish whiskey which has been revived by Echlinville distillery. Sweet and spicy with notes of dried fruit, vanilla and walnut.

Tasting Notes (1)",70cl,43.5%,"['Vanilla ', 'Walnut', 'Malt', 'Butterscotch', 'Dried Fruit', 'Caramel']",None,4,2,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/37530/dunvilles-three-crowns-whiskey
40,Dunville's Three Crowns Peated Whiskey,£46.95,"Duneville's Three Crowns Peated Irish whiskey is a sweet, fruity and gently smoky blend. Aromas of butterscotch, milk chocolate and vanilla fill the nose, and the palate offers notes of honey, mocha, stewed pears, earthy peat smoke and dried apricots.",70cl,43.5%,None,None,5,1,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/50395/dunvilles-three-crowns-peated-whiskey
41,Egan's Vintage Grain,£41.75,"Matured for at least eight years in ex-bourbon barrels, this single grain Irish whiskey from Egan's has a smooth, sweet character. The palate offers notes of vanilla, oak, fudge and a hint of spice.",70cl,46%,None,None,None,None,"Irish Single Grain Whiskey
Egan's",08/09/2022,https://www.thewhiskyexchange.com/p/49928/egans-vintage-grain
